game_id,status,home_team_id,away_team_id,home_starters,away_starters
0020000001,processed,1610612752,1610612755,"['164', '275', '369', '703', '779']","['238', '243', '248', '689', '727']"
0020000002,processed,1610612751,1610612739,"['1425', '1536', '1915', '2030', '383']","['1723', '1889', '221', '423', '441']"
0020000003,processed,1610612753,1610612764,"['1503', '1720', '1727', '255', '353']","['1732', '1751', '1918', '393', '436']"
0020000004,processed,1610612737,1610612766,"['1533', '1544', '1728', '1891', '2035']","['133', '136', '1884', '469', '922']"
0020000005,processed,1610612761,1610612765,"['1713', '213', '349', '722', '891']","['1088', '1112', '182', '2043', '376']"
0020000006,processed,1610612741,1610612758,"['1500', '1882', '1897', '1913', '2064']","['124', '1517', '185', '57', '978']"
0020000007,processed,1610612742,1610612749,"['1717', '2059', '363', '458', '714']","['1501', '208', '299', '679', '911']"
0020000008,processed,1610612745,1610612750,"['1000', '1005', '1508', '1509', '165']","['1497', '1725', '1887', '210', '324']"
0020000009,processed,1610612759,1610612754,"['1495', '1498', '1507', '198', '251']","['1506', '1733', '1886', '365', '397']"
0020000010,processed,1610612762,1610612746,"['1521', '178', '252', '304', '317']","['1709', '1730', '1838', '1885', '2032']"
0020000011,processed,1610612744,1610612756,"['1504', '168', '1712', '1716', '302']","['1890', '201', '2091', '361', '467']"
0020000012,processed,1610612757,1610612747,"['120', '1719', '739', '757', '781']","['166', '1731', '270', '296', '406']"
0020000013,processed,1610612763,1610612760,"['1710', '1722', '3', '735', '949']","['121', '1739', '1740', '1742', '2046']"
0020000014,processed,1610612738,1610612765,"['1499', '1559', '1718', '2040', '677']","['1088', '1112', '182', '376', '711']"
0020000015,processed,1610612755,1610612761,"['1928', '238', '243', '248', '389']","['1713', '2050', '213', '349', '722']"
0020000016,processed,1610612748,1610612753,"['190', '193', '224', '258', '896']","['1503', '1727', '2034', '353', '42']"
0020000017,processed,1610612766,1610612764,"['133', '136', '1884', '469', '695']","['1732', '1751', '1888', '1918', '393']"
0020000018,processed,1610612739,1610612758,"['1723', '1889', '2036', '221', '441']","['124', '1517', '185', '57', '978']"
0020000019,processed,1610612747,1610612762,"['166', '1731', '1904', '270', '296']","['1521', '178', '252', '304', '317']"
0020000020,processed,1610612760,1610612743,"['121', '1739', '1740', '2046', '2106']","['1110', '1505', '1711', '1721', '1899']"
0020000021,processed,1610612752,1610612737,"['275', '369', '703', '779', '84']","['1544', '1728', '1891', '2069', '673']"
