lineup,stint_count
"('Bo McCalebb', 'Linas Kleiza', 'Gasper Vidmar', 'Bojan Bogdanovic', 'Emir Preldzic')",7
"('Bo McCalebb', 'Linas Kleiza', 'Luka Zoric', 'Bojan Bogdanovic', 'Emir Preldzic')",2
"('Melih Mahmutoglu', 'Linas Kleiza', 'Gasper Vidmar', 'Kenan Sipahi', 'Bojan Bogdanovic')",2
"('Melih Mahmutoglu', 'Izzet Turkyilmaz', 'James Birsen', 'Kenan Sipahi', 'Ayberk Olmaz')",2
"('Melih Mahmutoglu', 'Izzet Turkyilmaz', 'Gasper Vidmar', 'James Birsen', 'Kenan Sipahi')",2
"('Melih Mahmutoglu', 'Luka Zoric', 'James Birsen', 'Kenan Sipahi', 'Emir Preldzic')",2
"('Melih Mahmutoglu', 'Linas Kleiza', 'Luka Zoric', 'James Birsen', 'Kenan Sipahi')",2
"('Bo McCalebb', 'Baris Ermis', 'Luka Zoric', 'Bojan Bogdanovic', 'Emir Preldzic')",2
"('Baris Ermis', 'Luka Zoric', 'James Birsen', 'Kenan Sipahi', 'Bojan Bogdanovic')",2
"('Baris Ermis', 'Linas Kleiza', 'Luka Zoric', 'James Birsen', 'Kenan Sipahi')",1
"('Izzet Turkyilmaz', 'James Birsen', 'Kenan Sipahi', 'Berk Ugurlu', 'Ayberk Olmaz')",1
"('Melih Mahmutoglu', 'Linas Kleiza', 'James Birsen', 'Kenan Sipahi', 'Ayberk Olmaz')",1
"('Bo McCalebb', 'Melih Mahmutoglu', 'Linas Kleiza', 'Gasper Vidmar', 'Emir Preldzic')",1
"('Melih Mahmutoglu', 'Gasper Vidmar', 'James Birsen', 'Kenan Sipahi', 'Emir Preldzic')",1
"('Melih Mahmutoglu', 'Izzet Turkyilmaz', 'Luka Zoric', 'James Birsen', 'Kenan Sipahi')",1
"('Melih Mahmutoglu', 'Izzet Turkyilmaz', 'Gasper Vidmar', 'Kenan Sipahi', 'Bojan Bogdanovic')",1
"('Bo McCalebb', 'Melih Mahmutoglu', 'Linas Kleiza', 'Gasper Vidmar', 'Bojan Bogdanovic')",1
"('1962936724', 'Izzet Turkyilmaz', 'James Birsen', 'Berk Ugurlu', 'Ayberk Olmaz')",1
