game_id,period,start_eventnum,start_clock,home_lineup,away_lineup,start_home_score,start_away_score,end_eventnum,end_clock,end_home_score,end_away_score,home_points,away_points,home_lineup_names,away_lineup_names,home_n_players,away_n_players
0011300001,1,3,12:00,"['42531', '42536', '42540', '42544', '42545']","['200757', '201142', '201586', '202704', '2570']",0,0,44,7:35,10,6,10,6,"['Bo McCalebb', 'Linas Kleiza', 'Luka Zoric', 'Bojan Bogdanovic', 'Emir Preldzic']","['Thabo Sefolosha', 'Kevin Durant', 'Serge Ibaka', 'Reggie Jackson', 'Kendrick Perkins']",5,5
0011300001,1,45,7:33,"['42531', '42536', '42538', '42544', '42545']","['200757', '201142', '201586', '202704', '2570']",10,6,69,4:35,20,12,10,6,"['Bo McCalebb', 'Linas Kleiza', 'Gasper Vidmar', 'Bojan Bogdanovic', 'Emir Preldzic']","['Thabo Sefolosha', 'Kevin Durant', 'Serge Ibaka', 'Reggie Jackson', 'Kendrick Perkins']",5,5
0011300001,1,70,4:21,"['42531', '42536', '42538', '42544', '42545']","['200757', '201142', '201586', '202704', '2555']",20,12,77,3:57,20,15,0,3,"['Bo McCalebb', 'Linas Kleiza', 'Gasper Vidmar', 'Bojan Bogdanovic', 'Emir Preldzic']","['Thabo Sefolosha', 'Kevin Durant', 'Serge Ibaka', 'Reggie Jackson', 'Nick Collison']",5,5
0011300001,1,78,3:57,"['42531', '42536', '42538', '42544', '42545']","['200757', '201586', '202704', '203087', '2555']",20,15,81,3:57,21,15,1,0,"['Bo McCalebb', 'Linas Kleiza', 'Gasper Vidmar', 'Bojan Bogdanovic', 'Emir Preldzic']","['Thabo Sefolosha', 'Serge Ibaka', 'Reggie Jackson', 'Jeremy Lamb', 'Nick Collison']",5,5
0011300001,1,82,3:57,"['42531', '42535', '42536', '42538', '42544']","['200757', '201586', '202704', '203087', '2555']",22,15,92,3:09,22,15,0,0,"['Bo McCalebb', 'Melih Mahmutoglu', 'Linas Kleiza', 'Gasper Vidmar', 'Bojan Bogdanovic']","['Thabo Sefolosha', 'Serge Ibaka', 'Reggie Jackson', 'Jeremy Lamb', 'Nick Collison']",5,5
0011300001,1,93,3:09,"['42535', '42536', '42538', '42542', '42544']","['200757', '201586', '202704', '203087', '2555']",22,16,103,2:13,25,16,3,0,"['Melih Mahmutoglu', 'Linas Kleiza', 'Gasper Vidmar', 'Kenan Sipahi', 'Bojan Bogdanovic']","['Thabo Sefolosha', 'Serge Ibaka', 'Reggie Jackson', 'Jeremy Lamb', 'Nick Collison']",5,5
0011300001,1,104,1:55,"['42535', '42536', '42538', '42542', '42544']","['200757', '201934', '202704', '203087', '2555']",25,16,113,1:28,25,17,0,1,"['Melih Mahmutoglu', 'Linas Kleiza', 'Gasper Vidmar', 'Kenan Sipahi', 'Bojan Bogdanovic']","['Thabo Sefolosha', 'Hasheem Thabeet', 'Reggie Jackson', 'Jeremy Lamb', 'Nick Collison']",5,5
0011300001,1,114,1:25,"['42535', '42537', '42538', '42542', '42544']","['200757', '201934', '202704', '203087', '2555']",25,19,130,0:21,26,20,1,1,"['Melih Mahmutoglu', 'Izzet Turkyilmaz', 'Gasper Vidmar', 'Kenan Sipahi', 'Bojan Bogdanovic']","['Thabo Sefolosha', 'Hasheem Thabeet', 'Reggie Jackson', 'Jeremy Lamb', 'Nick Collison']",5,5
0011300001,1,131,0:21,"['42535', '42537', '42538', '42541', '42542']","['200757', '201934', '202704', '203087', '2555']",26,20,138,0:00,28,20,2,0,"['Melih Mahmutoglu', 'Izzet Turkyilmaz', 'Gasper Vidmar', 'James Birsen', 'Kenan Sipahi']","['Thabo Sefolosha', 'Hasheem Thabeet', 'Reggie Jackson', 'Jeremy Lamb', 'Nick Collison']",5,5
0011300001,2,141,11:45,"['42535', '42537', '42538', '42541', '42542']","['200757', '201934', '202704', '203087', '2555']",28,20,158,10:32,29,22,1,2,"['Melih Mahmutoglu', 'Izzet Turkyilmaz', 'Gasper Vidmar', 'James Birsen', 'Kenan Sipahi']","['Thabo Sefolosha', 'Hasheem Thabeet', 'Reggie Jackson', 'Jeremy Lamb', 'Nick Collison']",5,5
0011300001,2,159,10:25,"['42535', '42537', '42540', '42541', '42542']","['200757', '201934', '202704', '203087', '2555']",29,22,177,8:20,33,26,4,4,"['Melih Mahmutoglu', 'Izzet Turkyilmaz', 'Luka Zoric', 'James Birsen', 'Kenan Sipahi']","['Thabo Sefolosha', 'Hasheem Thabeet', 'Reggie Jackson', 'Jeremy Lamb', 'Nick Collison']",5,5
0011300001,2,178,8:14,"['42535', '42540', '42541', '42542', '42545']","['200757', '201934', '202704', '203087', '2555']",33,28,192,6:48,37,30,4,2,"['Melih Mahmutoglu', 'Luka Zoric', 'James Birsen', 'Kenan Sipahi', 'Emir Preldzic']","['Thabo Sefolosha', 'Hasheem Thabeet', 'Reggie Jackson', 'Jeremy Lamb', 'Nick Collison']",5,5
0011300001,2,194,6:36,"['42535', '42540', '42541', '42542', '42545']","['200757', '201586', '201934', '202704', '203087']",37,32,196,6:36,37,32,0,0,"['Melih Mahmutoglu', 'Luka Zoric', 'James Birsen', 'Kenan Sipahi', 'Emir Preldzic']","['Thabo Sefolosha', 'Serge Ibaka', 'Hasheem Thabeet', 'Reggie Jackson', 'Jeremy Lamb']",5,5
0011300001,2,198,6:36,"['42535', '42538', '42541', '42542', '42545']","['200757', '201586', '201934', '202704', '203087']",37,33,208,5:51,37,35,0,2,"['Melih Mahmutoglu', 'Gasper Vidmar', 'James Birsen', 'Kenan Sipahi', 'Emir Preldzic']","['Thabo Sefolosha', 'Serge Ibaka', 'Hasheem Thabeet', 'Reggie Jackson', 'Jeremy Lamb']",5,5
0011300001,2,212,5:30,"['42531', '42535', '42536', '42538', '42545']","['200757', '201586', '202704', '203087', '2570']",37,35,223,4:42,37,36,0,1,"['Bo McCalebb', 'Melih Mahmutoglu', 'Linas Kleiza', 'Gasper Vidmar', 'Emir Preldzic']","['Thabo Sefolosha', 'Serge Ibaka', 'Reggie Jackson', 'Jeremy Lamb', 'Kendrick Perkins']",5,5
0011300001,2,224,4:42,"['42531', '42536', '42538', '42544', '42545']","['200757', '201586', '202704', '203087', '2570']",37,37,227,4:30,37,37,0,0,"['Bo McCalebb', 'Linas Kleiza', 'Gasper Vidmar', 'Bojan Bogdanovic', 'Emir Preldzic']","['Thabo Sefolosha', 'Serge Ibaka', 'Reggie Jackson', 'Jeremy Lamb', 'Kendrick Perkins']",5,5
