eventnum,period,pctimestring,team_label,team_id,player_out,player_in,removed,added,lineup_size_after,action_taken,before_lineup,after_lineup
44,1,7:35,home,12321,42540,42538,True,True,5,applied_clean,"['42531', '42536', '42540', '42544', '42545']","['42531', '42536', '42538', '42544', '42545']"
69,1,4:35,away,1610612760,2570,2555,True,True,5,applied_clean,"['200757', '201142', '201586', '202704', '2570']","['200757', '201142', '201586', '202704', '2555']"
77,1,3:57,away,1610612760,201142,203087,True,True,5,applied_clean,"['200757', '201142', '201586', '202704', '2555']","['200757', '201586', '202704', '203087', '2555']"
81,1,3:57,home,12321,42545,42535,True,True,5,applied_clean,"['42531', '42536', '42538', '42544', '42545']","['42531', '42535', '42536', '42538', '42544']"
92,1,3:09,home,12321,42531,42542,True,True,5,applied_clean,"['42531', '42535', '42536', '42538', '42544']","['42535', '42536', '42538', '42542', '42544']"
103,1,2:13,away,1610612760,201586,201934,True,True,5,applied_clean,"['200757', '201586', '202704', '203087', '2555']","['200757', '201934', '202704', '203087', '2555']"
113,1,1:28,home,12321,42536,42537,True,True,5,applied_clean,"['42535', '42536', '42538', '42542', '42544']","['42535', '42537', '42538', '42542', '42544']"
130,1,0:21,home,12321,42544,42541,True,True,5,applied_clean,"['42535', '42537', '42538', '42542', '42544']","['42535', '42537', '42538', '42541', '42542']"
158,2,10:32,home,12321,42538,42540,True,True,5,applied_clean,"['42535', '42537', '42538', '42541', '42542']","['42535', '42537', '42540', '42541', '42542']"
177,2,8:20,home,12321,42537,42545,True,True,5,applied_clean,"['42535', '42537', '42540', '42541', '42542']","['42535', '42540', '42541', '42542', '42545']"
192,2,6:48,away,1610612760,2555,201586,True,True,5,applied_clean,"['200757', '201934', '202704', '203087', '2555']","['200757', '201586', '201934', '202704', '203087']"
196,2,6:36,home,12321,42540,42538,True,True,5,applied_clean,"['42535', '42540', '42541', '42542', '42545']","['42535', '42538', '42541', '42542', '42545']"
208,2,5:51,home,12321,42542,42531,True,True,5,applied_clean,"['42535', '42538', '42541', '42542', '42545']","['42531', '42535', '42538', '42541', '42545']"
209,2,5:51,home,12321,42541,42536,True,True,5,applied_clean,"['42531', '42535', '42538', '42541', '42545']","['42531', '42535', '42536', '42538', '42545']"
210,2,5:51,away,1610612760,201934,2570,True,True,5,applied_clean,"['200757', '201586', '201934', '202704', '203087']","['200757', '201586', '202704', '203087', '2570']"
223,2,4:42,home,12321,42535,42544,True,True,5,applied_clean,"['42531', '42535', '42536', '42538', '42545']","['42531', '42536', '42538', '42544', '42545']"
227,2,4:30,away,1610612760,965,202704,False,False,5,no_change,"['200757', '201586', '202704', '203087', '2570']","['200757', '201586', '202704', '203087', '2570']"
255,2,1:32,away,1610612760,2570,200757,True,False,5,removed_only,"['200757', '201586', '202704', '203087', '2570']","['200757', '201586', '202704', '203087', '2570']"
340,3,6:48,home,12321,42538,42540,True,True,5,applied_clean,"['42531', '42536', '42538', '42544', '42545']","['42531', '42536', '42540', '42544', '42545']"
351,3,5:45,home,12321,42536,42534,True,True,5,applied_clean,"['42531', '42536', '42540', '42544', '42545']","['42531', '42534', '42540', '42544', '42545']"
352,3,5:45,away,1610612760,201586,203103,True,True,5,applied_clean,"['200757', '201586', '202704', '203087', '2570']","['200757', '202704', '203087', '203103', '2570']"
353,3,5:45,away,1610612760,202704,965,True,True,5,applied_clean,"['200757', '202704', '203087', '203103', '2570']","['200757', '203087', '203103', '2570', '965']"
377,3,3:26,away,1610612760,201142,203087,False,False,5,no_change,"['200757', '203087', '203103', '2570', '965']","['200757', '203087', '203103', '2570', '965']"
386,3,2:29,home,12321,42531,42542,True,True,5,applied_clean,"['42531', '42534', '42540', '42544', '42545']","['42534', '42540', '42542', '42544', '42545']"
387,3,2:29,home,12321,42545,42541,True,True,5,applied_clean,"['42534', '42540', '42542', '42544', '42545']","['42534', '42540', '42541', '42542', '42544']"
435,4,9:18,home,12321,42544,42536,True,True,5,applied_clean,"['42534', '42540', '42541', '42542', '42544']","['42534', '42536', '42540', '42541', '42542']"
442,4,8:47,home,12321,42534,42535,True,True,5,applied_clean,"['42534', '42536', '42540', '42541', '42542']","['42535', '42536', '42540', '42541', '42542']"
443,4,8:47,away,1610612760,203500,201586,False,True,5,added_only,"['200757', '203087', '203103', '2570', '965']","['200757', '201586', '203087', '203103', '2570']"
454,4,7:51,home,12321,42538,42540,False,False,5,no_change,"['42535', '42536', '42540', '42541', '42542']","['42535', '42536', '42540', '42541', '42542']"
467,4,6:09,away,1610612760,965,203197,False,True,5,added_only,"['200757', '201586', '203087', '203103', '2570']","['200757', '201586', '203087', '203103', '203197']"
468,4,6:09,home,12321,42540,42547,True,True,5,applied_clean,"['42535', '42536', '42540', '42541', '42542']","['42535', '42536', '42541', '42542', '42547']"
478,4,5:20,home,12321,42536,42537,True,True,5,applied_clean,"['42535', '42536', '42541', '42542', '42547']","['42535', '42537', '42541', '42542', '42547']"
489,4,4:15,away,1610612760,201586,201934,True,True,5,applied_clean,"['200757', '201586', '203087', '203103', '203197']","['200757', '201934', '203087', '203103', '203197']"
508,4,2:05,home,12321,42535,42546,True,True,5,applied_clean,"['42535', '42537', '42541', '42542', '42547']","['42537', '42541', '42542', '42546', '42547']"
514,4,1:49,home,12321,42542,1962936724,True,True,5,applied_clean,"['42537', '42541', '42542', '42546', '42547']","['1962936724', '42537', '42541', '42546', '42547']"
