home_lineup_tuple,away_lineup_tuple,total_home_points,total_away_points,total_duration,total_stints,net_points,net_per_60
"('1717', '363', '458', '919', '93')","('123', '1505', '1721', '1899', '686')",6,0,7,1,6,51.43
"('1499', '1559', '179', '2040', '677')","('146', '1630', '182', '2043', '376')",5,0,6,1,5,50.0
"('1890', '201', '2091', '2092', '2101')","('2042', '2059', '223', '458', '762')",4,0,5,1,4,48.0
"('1890', '201', '2092', '2101', '915')","('1749', '1883', '1903', '2044', '983')",5,0,7,1,5,42.86
"('1717', '363', '458', '714', '762')","('209', '213', '349', '722', '788')",8,0,12,1,8,40.0
"('109', '216', '296', '323', '977')","('1005', '1749', '1903', '672', '983')",4,0,6,1,4,40.0
"('1709', '1838', '1885', '399', '976')","('1722', '1800', '236', '3', '763')",4,0,6,1,4,40.0
"('1890', '201', '2101', '361', '916')","('1498', '198', '251', '70', '764')",4,0,6,1,4,40.0
"('1890', '201', '2091', '361', '467')","('1000', '1005', '1508', '165', '1883')",-83,-95,19,1,12,37.89
"('1713', '213', '349', '722', '891')","('1088', '1112', '182', '2043', '376')",-75,-102,43,1,27,37.67
"('1088', '146', '1630', '2043', '376')","('121', '1740', '1741', '56', '699')",3,0,5,1,3,36.0
"('1928', '238', '243', '689', '727')","('1541', '1713', '209', '722', '891')",3,0,5,1,3,36.0
"('1000', '1005', '1508', '165', '1749')","('1500', '1897', '1913', '2033', '697')",4,0,7,1,4,34.29
"('1000', '1508', '165', '1883', '1903')","('133', '136', '1884', '469', '934')",4,0,7,1,4,34.29
"('1500', '1882', '1913', '2064', '697')","('1751', '1888', '1918', '43', '63')",4,0,7,1,4,34.29
"('1501', '283', '679', '911', '951')","('1051', '1725', '1734', '1895', '708')",4,0,7,1,4,34.29
"('164', '2068', '703', '779', '969')","('168', '1716', '2084', '219', '228')",4,0,7,1,4,34.29
"('275', '369', '779', '84', '969')","('1544', '1728', '1891', '2035', '754')",4,0,7,1,4,34.29
"('166', '216', '270', '375', '406')","('1434', '1500', '1736', '1882', '1897')",-87,-101,25,1,14,33.6
"('1501', '208', '283', '299', '679')","('1718', '179', '677', '77', '958')",13,3,18,2,10,33.33
"('1890', '2091', '361', '467', '915')","('164', '275', '369', '779', '84')",5,0,9,1,5,33.33
"('201', '2101', '361', '915', '960')","('1719', '2057', '278', '431', '739')",5,0,9,1,5,33.33
"('145', '1711', '1721', '1899', '45')","('109', '216', '270', '375', '977')",6,0,11,1,6,32.73
"('146', '1630', '2043', '688', '693')","('1134', '1800', '2031', '236', '28')",6,0,11,1,6,32.73
"('1506', '1733', '365', '397', '64')","('1501', '2038', '281', '283', '951')",6,0,12,1,6,30.0
"('120', '21', '278', '739', '905')","('1000', '1508', '165', '1749', '672')",7,2,10,1,5,30.0
"('1711', '1899', '45', '702', '89')","('1495', '1507', '198', '251', '422')",6,1,10,1,5,30.0
"('1088', '1112', '2043', '376', '711')","('121', '1740', '1741', '2046', '56')",4,0,8,1,4,30.0
"('1088', '146', '1630', '2043', '376')","('121', '1739', '1741', '56', '699')",4,0,8,1,4,30.0
"('147', '1733', '1743', '365', '397')","('1888', '393', '436', '685', '782')",6,2,8,1,4,30.0
"('1538', '1714', '1892', '221', '423')","('1088', '1112', '376', '711', '76')",4,0,8,1,4,30.0
"('1000', '1005', '1749', '1883', '435')","('1032', '208', '283', '299', '951')",3,0,6,1,3,30.0
"('1023', '121', '1739', '1740', '2106')","('1717', '1761', '762', '93', '959')",3,0,6,1,3,30.0
"('1088', '146', '711', '76', '961')","('124', '1513', '1517', '185', '57')",3,0,6,1,3,30.0
