player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60,player_1_name,player_2_name,pair_name
280,703,30,205,12,0.15,Felton Spencer,Kurt Thomas,Felton Spencer + Kurt Thomas
1887,417,35,285,27,0.12,Wally Szczerbiak,Sam Mitchell,Wally Szczerbiak + Sam Mitchell
1023,56,33,269,18,0.12,Emanual Davis,Gary Payton,Emanual Davis + Gary Payton
121,56,105,927,54,0.11,Patrick Ewing,Gary Payton,Patrick Ewing + Gary Payton
1884,1924,35,322,20,0.11,Baron Davis,Lee Nailon,Baron Davis + Lee Nailon
275,280,30,281,17,0.11,Allan Houston,Felton Spencer,Allan Houston + Felton Spencer
349,895,27,240,18,0.11,Mark Jackson,Tyrone Corbin,Mark Jackson + Tyrone Corbin
722,891,90,889,48,0.1,Corliss Williamson,Charles Oakley,Corliss Williamson + Charles Oakley
1732,685,71,707,62,0.1,Felipe Lopez,Cherokee Parks,Felipe Lopez + Cherokee Parks
168,682,35,357,27,0.1,Chris Mills,Bob Sura,Chris Mills + Bob Sura
1073,1887,27,271,17,0.1,Reggie Slater,Wally Szczerbiak,Reggie Slater + Wally Szczerbiak
146,693,25,243,23,0.1,Jud Buechler,Joe Smith,Jud Buechler + Joe Smith
42,690,24,232,22,0.1,Monty Williams,Don Reid,Monty Williams + Don Reid
2130,977,21,221,16,0.1,Mike Penberthy,Kobe Bryant,Mike Penberthy + Kobe Bryant
1740,56,102,1095,69,0.09,Rashard Lewis,Gary Payton,Rashard Lewis + Gary Payton
201,2101,58,652,60,0.09,Chris Dudley,Paul McPherson,Chris Dudley + Paul McPherson
1513,2045,45,528,44,0.09,Scot Pollard,Hedo Turkoglu,Scot Pollard + Hedo Turkoglu
1562,436,48,506,34,0.09,Gerard King,Juwan Howard,Gerard King + Juwan Howard
1138,1889,33,381,31,0.09,Michael Hawkins,Andre Miller,Michael Hawkins + Andre Miller
344,693,20,227,21,0.09,Dana Barros,Joe Smith,Dana Barros + Joe Smith
1713,722,148,1874,108,0.08,Vince Carter,Corliss Williamson,Vince Carter + Corliss Williamson
2052,252,81,1062,65,0.08,DeShawn Stevenson,Karl Malone,DeShawn Stevenson + Karl Malone
2050,722,68,905,57,0.08,Morris Peterson,Corliss Williamson,Morris Peterson + Corliss Williamson
1722,949,33,405,26,0.08,Michael Dickerson,Shareef Abdur-Rahim,Michael Dickerson + Shareef Abdur-Rahim
717,905,28,366,18,0.08,Arvydas Sabonis,Dale Davis,Arvydas Sabonis + Dale Davis
185,2045,24,313,22,0.08,Chris Webber,Hedo Turkoglu,Chris Webber + Hedo Turkoglu
2043,693,24,285,27,0.08,Mateen Cleaves,Joe Smith,Mateen Cleaves + Joe Smith
1134,970,21,251,21,0.08,Ike Austin,Othella Harrington,Ike Austin + Othella Harrington
