player_id,total_net_points,total_duration,total_stints,impact_per_60_sec,stints_per_game,player_name
693,34,434,36,0.08,,693
56,101,1589,102,0.06,,56
2045,50,849,70,0.06,,2045
2054,17,294,22,0.06,,2054
280,26,454,31,0.06,,280
935,28,501,43,0.06,,935
722,139,2536,153,0.05,,722
239,12,228,13,0.05,,239
682,37,773,57,0.05,,682
764,29,621,45,0.05,,764
2052,68,1483,100,0.05,,2052
442,23,516,40,0.04,,442
2101,74,1706,134,0.04,,2101
690,21,485,37,0.04,,690
685,54,1349,108,0.04,,685
913,59,1493,93,0.04,,913
2036,55,1400,111,0.04,,2036
1138,27,693,55,0.04,,1138
1722,74,1999,132,0.04,,1722
98,17,461,32,0.04,,98
1908,13,368,29,0.04,,1908
1924,48,1369,108,0.04,,1924
178,74,2164,134,0.03,,178
1713,160,4857,312,0.03,,1713
26,11,338,24,0.03,,26
947,41,1268,110,0.03,,947
201,83,2586,197,0.03,,201
1513,89,2865,218,0.03,,1513
1902,56,1809,142,0.03,,1902
349,162,5234,336,0.03,,349
213,147,4752,295,0.03,,213
252,119,3872,248,0.03,,252
1073,19,623,47,0.03,,1073
891,61,2104,137,0.03,,891
330,36,1256,107,0.03,,330
436,74,2615,183,0.03,,436
369,89,3234,228,0.03,,369
406,75,2802,161,0.03,,406
386,28,1049,76,0.03,,386
1900,55,2088,153,0.03,,1900
951,58,2208,153,0.03,,951
361,114,4424,301,0.03,,361
702,48,1881,167,0.03,,702
278,73,2888,212,0.03,,278
2038,20,803,52,0.02,,2038
452,77,3200,212,0.02,,452
915,71,3121,257,0.02,,915
1918,37,1663,122,0.02,,1918
2048,96,4319,306,0.02,,2048
1751,74,3347,234,0.02,,1751
1740,107,4841,313,0.02,,1740
393,96,4386,303,0.02,,393
275,116,5324,381,0.02,,275
731,19,886,65,0.02,,731
304,96,4497,313,0.02,,304
2050,82,3867,276,0.02,,2050
2066,13,614,52,0.02,,2066
1890,96,4702,322,0.02,,1890
136,79,3994,262,0.02,,136
966,26,1354,114,0.02,,966
2064,27,1440,103,0.02,,2064
2068,12,653,60,0.02,,2068
417,24,1308,106,0.02,,417
953,4,222,19,0.02,,953
2091,60,3527,243,0.02,,2091
1562,56,3325,252,0.02,,1562
1521,75,4470,313,0.02,,1521
103,26,1598,124,0.02,,103
948,21,1325,79,0.02,,948
1509,5,318,19,0.02,,1509
383,43,2749,189,0.02,,383
53,13,841,69,0.02,,53
145,16,1057,89,0.02,,145
121,66,4404,272,0.01,,121
1710,61,4105,266,0.01,,1710
1711,56,3844,272,0.01,,1711
1425,67,4650,335,0.01,,1425
960,24,1674,110,0.01,,960
243,47,3348,292,0.01,,243
236,42,3053,210,0.01,,236
185,52,3856,246,0.01,,185
1915,59,4401,304,0.01,,1915
89,14,1055,96,0.01,,89
