player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60,player_1_name,player_2_name
280,703,30,205,12,0.1463414634146341,Felton Spencer,Kurt Thomas
1887,417,35,285,27,0.1228070175438596,Wally Szczerbiak,Sam Mitchell
1023,56,33,269,18,0.1226765799256505,Emanual Davis,Gary Payton
121,56,105,927,54,0.1132686084142394,Patrick Ewing,Gary Payton
349,895,27,240,18,0.1125,Mark Jackson,Tyrone Corbin
1884,1924,35,322,20,0.108695652173913,Baron Davis,Lee Nailon
275,280,30,281,17,0.1067615658362989,Allan Houston,Felton Spencer
42,690,24,232,22,0.1034482758620689,Monty Williams,Don Reid
146,693,25,243,23,0.102880658436214,Jud Buechler,Joe Smith
722,891,90,889,48,0.1012373453318335,Corliss Williamson,Charles Oakley
1732,685,71,707,62,0.1004243281471004,Felipe Lopez,Cherokee Parks
1073,1887,27,271,17,0.0996309963099631,Reggie Slater,Wally Szczerbiak
168,682,35,357,27,0.0980392156862745,Chris Mills,Bob Sura
2130,977,21,221,16,0.0950226244343891,Mike Penberthy,Kobe Bryant
1562,436,48,506,34,0.0948616600790513,Gerard King,Juwan Howard
