player_id,total_net_points,total_duration,total_stints,impact_per_60_sec,stints_per_game,player_name
693,34,434,36,0.0783410138248847,,Joe Smith
56,101,1589,102,0.0635619886721208,,Gary Payton
2045,50,849,70,0.0588928150765606,,Hedo Turkoglu
2054,17,294,22,0.0578231292517006,,Jake Tsakalidis
280,26,454,31,0.0572687224669603,,Felton Spencer
935,28,501,43,0.0558882235528942,,Bryon Russell
722,139,2536,153,0.0548107255520504,,Corliss Williamson
239,12,228,13,0.0526315789473684,,Darrick Martin
682,37,773,57,0.0478654592496765,,Bob Sura
764,29,621,45,0.0466988727858293,,David Robinson
2052,68,1483,100,0.0458530006743088,,DeShawn Stevenson
442,23,516,40,0.0445736434108527,,Pervis Ellison
2101,74,1706,134,0.0433763188745603,,Paul McPherson
690,21,485,37,0.0432989690721649,,Don Reid
685,54,1349,108,0.0400296515937731,,Cherokee Parks
