home_lineup_tuple,away_lineup_tuple,total_home_points,total_away_points,total_duration,total_stints,net_points,net_per_60
"('1000', '1005', '1508', '1509', '165')","('1497', '1725', '1887', '210', '324')",-86,-74,55,1,-12,-13.09090909090909
"('1000', '1005', '1508', '1509', '165')","('1497', '1725', '210', '324', '417')",6,7,27,3,-1,-2.2222222222222223
"('1000', '1005', '1508', '165', '1749')","('1032', '1501', '208', '281', '283')",-66,-73,70,3,7,6.0
"('1000', '1005', '1508', '165', '1749')","('124', '1444', '1513', '1715', '468')",2,8,23,3,-6,-15.652173913043478
"('1000', '1005', '1508', '165', '1749')","('124', '1513', '1715', '185', '57')",-101,-68,63,2,-33,-31.42857142857143
"('1000', '1005', '1508', '165', '1749')","('1444', '1513', '1715', '185', '468')",20,19,104,2,1,0.576923076923077
"('1000', '1005', '1508', '165', '1749')","('1500', '1736', '1913', '2033', '2037')",1,0,8,1,1,7.5
"('1000', '1005', '1508', '165', '1749')","('1500', '1882', '1897', '1913', '2037')",1,0,5,1,1,12.0
"('1000', '1005', '1508', '165', '1749')","('1500', '1882', '1897', '1913', '697')",15,12,58,3,3,3.103448275862069
"('1000', '1005', '1508', '165', '1749')","('1500', '1897', '1913', '2033', '2037')",5,6,20,2,-1,-3.0
"('1000', '1005', '1508', '165', '1749')","('1500', '1897', '1913', '2033', '697')",4,0,7,1,4,34.285714285714285
"('1000', '1005', '1508', '165', '1749')","('1710', '1722', '735', '949', '970')",-72,-72,51,1,0,0.0
"('1000', '1005', '1508', '165', '1749')","('1890', '2091', '361', '467', '53')",-101,-94,58,2,-7,-7.241379310344828
"('1000', '1005', '1508', '165', '1749')","('1890', '361', '467', '53', '916')",4,1,7,1,3,25.71428571428571
"('1000', '1005', '1508', '165', '1883')","('1434', '1500', '1882', '1897', '1913')",-81,-83,44,1,2,2.7272727272727275
"('1000', '1005', '1508', '1749', '1903')","('1434', '1500', '1736', '2033', '2062')",5,6,23,2,-1,-2.608695652173913
"('1000', '1005', '1508', '1749', '1903')","('1500', '1736', '1913', '2033', '2062')",0,0,10,1,0,0.0
"('1000', '1005', '1508', '1749', '435')","('124', '1444', '1513', '1715', '468')",0,0,3,1,0,0.0
"('1000', '1005', '1508', '1749', '435')","('208', '283', '299', '679', '951')",1,2,7,1,-1,-8.571428571428571
"('1000', '1005', '1508', '1749', '672')","('1032', '1501', '208', '281', '283')",3,3,7,2,0,0.0
"('1000', '1005', '1508', '435', '672')","('1501', '281', '283', '679', '951')",2,0,6,1,2,20.0
"('1000', '1005', '1508', '672', '983')","('1032', '1501', '208', '281', '283')",6,6,18,2,0,0.0
"('1000', '1005', '1508', '672', '983')","('1501', '208', '281', '283', '679')",3,0,11,1,3,16.363636363636363
"('1000', '1005', '1508', '672', '983')","('1501', '281', '283', '679', '951')",2,2,11,2,0,0.0
"('1000', '1005', '165', '1749', '1903')","('124', '1513', '1715', '185', '57')",2,0,26,2,2,4.615384615384616
"('1000', '1005', '165', '1749', '1903')","('1890', '361', '467', '53', '916')",2,0,3,1,2,40.0
"('1000', '1005', '165', '1749', '1903')","('1890', '467', '53', '915', '916')",1,2,9,2,-1,-6.666666666666666
"('1000', '1005', '165', '1749', '1903')","('1890', '467', '915', '916', '960')",3,0,11,1,3,16.363636363636363
"('1000', '1005', '1749', '1883', '435')","('1032', '1501', '208', '281', '283')",5,5,12,1,0,0.0
"('1000', '1005', '1749', '1883', '435')","('1032', '208', '281', '299', '951')",3,4,9,1,-1,-6.666666666666666
"('1000', '1005', '1749', '1883', '435')","('1032', '208', '283', '299', '951')",3,0,6,1,3,30.0
"('1000', '1005', '1749', '1883', '435')","('1501', '1747', '2072', '281', '283')",7,4,16,1,3,11.25
"('1000', '1005', '1749', '1883', '435')","('208', '283', '299', '679', '951')",7,7,27,1,0,0.0
"('1000', '1005', '1749', '1903', '2044')","('1890', '467', '915', '916', '960')",5,8,26,2,-3,-6.923076923076923
"('1000', '1005', '1749', '1903', '435')","('124', '1444', '1513', '1715', '468')",0,2,8,1,-2,-15.0
"('1000', '1005', '1749', '1903', '435')","('1500', '1736', '1882', '1913', '2033')",4,6,20,1,-2,-6.0
"('1000', '1005', '1749', '1903', '435')","('1500', '1882', '1897', '1913', '697')",0,0,6,1,0,0.0
"('1000', '1005', '1749', '1903', '435')","('1736', '1882', '1913', '2033', '697')",9,12,29,4,-3,-6.206896551724138
"('1000', '1005', '1749', '1903', '672')","('1434', '1500', '1736', '2033', '2062')",0,0,7,1,0,0.0
"('1000', '1005', '1749', '435', '672')","('1032', '1501', '208', '281', '283')",9,5,35,1,4,6.857142857142857
"('1000', '1005', '1749', '435', '672')","('1032', '208', '281', '283', '299')",7,3,21,2,4,11.428571428571427
"('1000', '1005', '1749', '435', '672')","('1501', '208', '281', '283', '299')",0,2,8,2,-2,-15.0
"('1000', '1005', '1749', '435', '672')","('1501', '281', '283', '299', '679')",3,8,26,1,-5,-11.538461538461538
"('1000', '1005', '1749', '435', '983')","('1032', '1501', '208', '281', '299')",0,3,9,1,-3,-20.0
"('1000', '1005', '1749', '435', '983')","('1032', '1501', '281', '283', '299')",0,0,3,1,0,0.0
"('1000', '1005', '1749', '435', '983')","('1032', '208', '281', '299', '951')",11,15,105,4,-4,-2.285714285714286
"('1000', '1508', '165', '1749', '1883')","('133', '136', '1884', '1944', '2048')",-67,-74,62,2,7,6.774193548387097
"('1000', '1508', '165', '1749', '1883')","('133', '1884', '1944', '2048', '934')",0,5,19,1,-5,-15.789473684210526
"('1000', '1508', '165', '1749', '1883')","('1710', '1722', '3', '735', '970')",2,3,22,1,-1,-2.7272727272727275
"('1000', '1508', '165', '1749', '1883')","('1800', '2031', '236', '3', '735')",14,15,67,3,-1,-0.8955223880597015
"('1000', '1508', '165', '1749', '1883')","('1800', '236', '3', '735', '970')",0,0,2,1,0,0.0
"('1000', '1508', '165', '1749', '1903')","('133', '136', '1884', '469', '922')",9,6,38,2,3,4.7368421052631575
"('1000', '1508', '165', '1749', '2044')","('1890', '467', '915', '916', '960')",6,4,36,3,2,3.333333333333333
"('1000', '1508', '165', '1749', '672')","('1134', '1722', '1800', '2031', '3')",3,0,13,1,3,13.846153846153847
"('1000', '1508', '165', '1749', '672')","('1444', '1513', '1715', '185', '468')",13,13,76,7,0,0.0
"('1000', '1508', '165', '1749', '672')","('1444', '1513', '1715', '185', '978')",12,6,30,1,6,12.0
"('1000', '1508', '165', '1749', '672')","('1710', '1722', '3', '735', '970')",1,2,9,1,-1,-6.666666666666666
"('1000', '1508', '165', '1749', '672')","('1710', '1722', '735', '949', '970')",4,2,18,2,2,6.666666666666666
"('1000', '1508', '165', '1749', '672')","('1890', '2091', '2101', '361', '467')",0,0,2,1,0,0.0
"('1000', '1508', '165', '1749', '672')","('1890', '2091', '361', '467', '916')",7,5,47,3,2,2.5531914893617023
"('1000', '1508', '165', '1749', '672')","('1890', '2101', '361', '467', '53')",1,6,20,2,-5,-15.0
"('1000', '1508', '165', '1749', '672')","('1890', '2101', '361', '467', '916')",4,3,18,2,1,3.333333333333333
"('1000', '1508', '165', '1749', '672')","('1890', '2101', '361', '467', '960')",2,0,2,1,2,60.0
"('1000', '1508', '165', '1883', '1903')","('133', '136', '1884', '469', '922')",9,24,83,2,-15,-10.843373493975903
"('1000', '1508', '165', '1883', '1903')","('133', '136', '1884', '469', '934')",4,0,7,1,4,34.285714285714285
"('1000', '1508', '165', '1883', '1903')","('133', '1884', '2048', '469', '934')",3,2,16,1,1,3.75
"('1000', '1508', '165', '1883', '1903')","('133', '1884', '469', '922', '934')",4,6,20,1,-2,-6.0
"('1000', '1508', '165', '1883', '1903')","('1884', '1944', '2048', '469', '934')",5,4,24,2,1,2.5
"('1000', '1508', '165', '1883', '2044')","('133', '136', '1884', '469', '934')",4,3,20,1,1,3.0
"('1000', '1508', '165', '1883', '672')","('109', '166', '1731', '296', '406')",0,0,2,1,0,0.0
"('1000', '1508', '165', '1883', '672')","('109', '166', '296', '406', '977')",11,9,41,3,2,2.926829268292683
"('1000', '1508', '165', '1883', '672')","('1434', '1500', '1882', '1897', '1913')",8,9,38,2,-1,-1.5789473684210527
"('1000', '1508', '165', '1883', '672')","('166', '270', '296', '406', '977')",-61,-78,122,2,17,8.360655737704917
"('1000', '1508', '165', '672', '983')","('109', '166', '1731', '296', '323')",2,0,9,1,2,13.333333333333332
"('1000', '1508', '1749', '1883', '1903')","('1500', '1736', '1882', '1913', '2033')",5,5,25,3,0,0.0
"('1000', '1508', '1749', '1883', '2044')","('1134', '1722', '1800', '2031', '3')",7,4,19,1,3,9.473684210526315
"('1000', '1508', '1749', '1883', '2044')","('1134', '1800', '2031', '236', '3')",9,8,31,4,1,1.935483870967742
"('1000', '1508', '1749', '1883', '2044')","('1722', '1800', '2031', '3', '970')",11,9,68,3,2,1.7647058823529411
"('1000', '1508', '1749', '1883', '2044')","('1800', '2031', '236', '3', '735')",2,2,7,1,0,0.0
"('1000', '1508', '1749', '2044', '672')","('1134', '1710', '1722', '949', '970')",0,0,3,1,0,0.0
"('1000', '1508', '1749', '2044', '672')","('1134', '1722', '1800', '2031', '3')",2,4,15,1,-2,-8.0
"('1000', '1508', '1749', '2044', '672')","('1134', '1722', '1800', '3', '949')",4,3,22,2,1,2.7272727272727275
"('1000', '1508', '1749', '2044', '672')","('1134', '1722', '1800', '949', '970')",5,9,24,2,-4,-10.0
"('1000', '1508', '1749', '2044', '672')","('1710', '1722', '735', '949', '970')",2,3,14,1,-1,-4.285714285714286
"('1000', '1508', '1749', '2044', '672')","('1890', '467', '915', '916', '960')",2,3,18,1,-1,-3.333333333333333
"('1000', '1508', '1749', '435', '672')","('1501', '283', '299', '679', '951')",4,2,15,1,2,8.0
"('1000', '1508', '1749', '435', '672')","('208', '283', '299', '679', '951')",2,2,11,1,0,0.0
"('1000', '1508', '1883', '1903', '672')","('1500', '1882', '1897', '1913', '2033')",6,4,15,1,2,8.0
