player_id,player_name
920,A.C. Green
2062,A.J. Guyton
243,Aaron McKie
1425,Aaron Williams
228,Adam Keefe
1502,Adonal Foyle
1559,Adrian Griffin
1733,Al Harrington
673,Alan Henderson
275,Allan Houston
947,Allen Iverson
1541,Alvin Williams
1889,Andre Miller
692,Andrew DeClercq
1712,Antawn Jamison
1853,Anthony Carter
1533,Anthony Johnson
193,Anthony Mason
292,Anthony Miller
324,Anthony Peeler
952,Antoine Walker
1498,Antonio Daniels
213,Antonio Davis
176,Antonio Harvey
686,Antonio McDyess
717,Arvydas Sabonis
1506,Austin Croshere
422,Avery Johnson
1884,Baron Davis
1112,Ben Wallace
223,Bill Curley
182,Billy Owens
902,Bimbo Coles
448,Bo Outlaw
682,Bob Sura
1517,Bobby Jackson
1719,Bonzi Wells
1802,Brad Miller
699,Brent Barry
258,Brian Grant
216,Brian Shaw
1730,Brian Skinner
1477,Bruce Bowen
1743,Bruno Sundov
735,Bryant Reeves
179,Bryant Stith
1724,Bryce Drew
935,Bryon Russell
1898,Cal Bowdler
1916,Calvin Booth
435,Carlos Rogers
76,Cedric Ceballos
1538,Cedric Henderson
891,Charles Oakley
369,Charlie Ward
1497,Chauncey Billups
685,Cherokee Parks
713,Chris Carr
164,Chris Childs
1544,Chris Crawford
201,Chris Dudley
423,Chris Gatling
1914,Chris Herren
2036,Chris Mihm
168,Chris Mills
904,Chris Mullin
2084,Chris Porter
185,Chris Webber
43,Chris Whitney
363,Christian Laettner
1088,Chucky Atkins
221,Clar. Weatherspoon
361,Clifford Robinson
1736,Corey Benjamin
1894,Corey Maggette
916,Corie Blount
722,Corliss Williamson
2042,Courtney Alexander
1749,Cuttino Mobley
905,Dale Davis
2053,Dalibor Bagaric
1800,Damon Jones
757,Damon Stoudamire
2061,Dan Langhi
344,Dana Barros
2091,Daniel Santiago
198,Danny Ferry
1504,Danny Fortson
330,Danny Manning
2032,Darius Miles
353,Darrell Armstrong
239,Darrick Martin
1032,Darvin Ham
128,David Benoit
764,David Robinson
133,David Wesley
2052,DeShawn Stevenson
1051,Dean Garrett
209,Dell Curry
2035,DerMarr Johnson
1507,Derek Anderson
400,Derek Strong
934,Derrick Coleman
365,Derrick McKey
2046,Desmond Mason
1904,Devean George
87,Dikembe Mutombo
1717,Dirk Nowitzki
931,Don MacLean
690,Don Reid
923,Donyell Marshall
57,Doug Christie
77,Doug Overton
28,Doug West
1434,Dragan Tarlac
190,Duane Causwell
2067,Eddie House
224,Eddie Jones
1944,Eddie Robinson
2059,Eduardo Najera
922,Elden Campbell
695,Eldridge Recasner
386,Elliot Perry
1882,Elton Brand
1023,Emanual Davis
376,Eric Montross
