lineup_ids,lineup_names,points_for,points_against,total_duration,total_stints,net_points,net_per_60,lineup_side,lineup_display,lineup_ids_tuple,team_id,team_name,avg_player_impact,duration_score,stint_score,recommendation_score
"('1088', '146', '376', '688', '693')","['Chucky Atkins', 'Jud Buechler', 'Eric Montross', 'Michael Curry', 'Joe Smith']",3,0,3,1,3,60.0,home,Chucky Atkins | Jud Buechler | Eric Montross | Michael Curry | Joe Smith,"('1088', '146', '376', '688', '693')",1610612765,Detroit Pistons,0.01087367998814406,0.016216216216216217,0.08333333333333333,60.110423229537695
"('1732', '1888', '393', '436', '63')","['Felipe Lopez', 'Richard Hamilton', 'Rod Strickland', 'Juwan Howard', 'Michael Smith']",2,0,2,1,2,60.0,home,Felipe Lopez | Richard Hamilton | Rod Strickland | Juwan Howard | Michael Smith,"('1732', '1888', '393', '436', '63')",1610612764,Washington Wizards,0.0096649237536829,0.010810810810810811,0.08333333333333333,60.10380906789783
"('1000', '1508', '165', '1749', '672')","['Shandon Anderson', 'Maurice Taylor', 'Hakeem Olajuwon', 'Cuttino Mobley', 'Matt Bullard']",2,0,2,1,2,60.0,home,Shandon Anderson | Maurice Taylor | Hakeem Olajuwon | Cuttino Mobley | Matt Bullard,"('1000', '1508', '165', '1749', '672')",1610612745,Houston Rockets,0.00596755756890458,0.010810810810810811,0.08333333333333333,60.10011170171305
"('1717', '363', '458', '919', '93')","['Dirk Nowitzki', 'Christian Laettner', 'Howard Eisley', 'Loy Vaught', 'Hubert Davis']",6,0,7,1,6,51.42857142857142,home,Dirk Nowitzki | Christian Laettner | Howard Eisley | Loy Vaught | Hubert Davis,"('1717', '363', '458', '919', '93')",1610612742,Dallas Mavericks,-0.01141718605262344,0.03783783783783784,0.08333333333333333,51.53832541368997
"('1499', '1559', '179', '2040', '677')","['Tony Battie', 'Adrian Griffin', 'Bryant Stith', 'Jerome Moiso', 'Eric Williams']",5,0,6,1,5,50.0,home,Tony Battie | Adrian Griffin | Bryant Stith | Jerome Moiso | Eric Williams,"('1499', '1559', '179', '2040', '677')",1610612738,Boston Celtics,-0.01585836429377156,0.032432432432432434,0.08333333333333333,50.099907401471995
"('1890', '201', '2091', '2092', '2101')","['Shawn Marion', 'Chris Dudley', 'Daniel Santiago', 'Ruben Garces', 'Paul McPherson']",4,0,5,1,4,48.0,home,Shawn Marion | Chris Dudley | Daniel Santiago | Ruben Garces | Paul McPherson,"('1890', '201', '2091', '2092', '2101')",1610612756,Phoenix Suns,0.018545555544702864,0.02702702702702703,0.08333333333333333,48.128905915905065
"('1501', '283', '299', '911', '951')","['Tim Thomas', 'Lindsey Hunter', 'Glenn Robinson', 'Ervin Johnson', 'Ray Allen']",3,0,4,1,3,45.0,home,Tim Thomas | Lindsey Hunter | Glenn Robinson | Ervin Johnson | Ray Allen,"('1501', '283', '299', '911', '951')",1610612749,Milwaukee Bucks,-0.0025036911393814796,0.021621621621621623,0.08333333333333333,45.102451263815574
"('1890', '201', '2092', '2101', '915')","['Shawn Marion', 'Chris Dudley', 'Ruben Garces', 'Paul McPherson', 'Rodney Rogers']",5,0,7,1,5,42.85714285714286,home,Shawn Marion | Chris Dudley | Ruben Garces | Paul McPherson | Rodney Rogers,"('1890', '201', '2092', '2101', '915')",1610612756,Phoenix Suns,0.01969305439710408,0.03783783783783784,0.08333333333333333,42.99800708271113
"('1890', '201', '2101', '361', '916')","['Shawn Marion', 'Chris Dudley', 'Paul McPherson', 'Clifford Robinson', 'Corie Blount']",4,0,6,1,4,40.0,home,Shawn Marion | Chris Dudley | Paul McPherson | Clifford Robinson | Corie Blount,"('1890', '201', '2101', '361', '916')",1610612756,Phoenix Suns,0.025307923387825344,0.032432432432432434,0.08333333333333333,40.14107368915359
"('1717', '363', '458', '714', '762')","['Dirk Nowitzki', 'Christian Laettner', 'Howard Eisley', 'Michael Finley', 'Shawn Bradley']",8,0,12,1,8,40.0,home,Dirk Nowitzki | Christian Laettner | Howard Eisley | Michael Finley | Shawn Bradley,"('1717', '363', '458', '714', '762')",1610612742,Dallas Mavericks,-0.01230074943337638,0.06486486486486487,0.08333333333333333,40.13589744876482
"('109', '216', '296', '323', '977')","['Robert Horry', 'Brian Shaw', 'Rick Fox', 'Greg Foster', 'Kobe Bryant']",4,0,6,1,4,40.0,home,Robert Horry | Brian Shaw | Rick Fox | Greg Foster | Kobe Bryant,"('109', '216', '296', '323', '977')",1610612747,Los Angeles Lakers,0.00474456661066518,0.032432432432432434,0.08333333333333333,40.12051033237643
"('1023', '121', '1739', '1740', '442')","['Emanual Davis', 'Patrick Ewing', 'Ruben Patterson', 'Rashard Lewis', 'Pervis Ellison']",2,0,3,1,2,40.0,home,Emanual Davis | Patrick Ewing | Ruben Patterson | Rashard Lewis | Pervis Ellison,"('1023', '121', '1739', '1740', '442')",1610612760,Oklahoma City Thunder,0.01925213782108286,0.016216216216216217,0.08333333333333333,40.118801687370635
"('275', '369', '779', '84', '948')","['Allan Houston', 'Charlie Ward', 'Glen Rice', 'Latrell Sprewell', 'Marcus Camby']",2,0,3,1,2,40.0,home,Allan Houston | Charlie Ward | Glen Rice | Latrell Sprewell | Marcus Camby,"('275', '369', '779', '84', '948')",1610612752,New York Knicks,0.0178168875476001,0.016216216216216217,0.08333333333333333,40.117366437097154
"('1425', '1915', '2030', '271', '383')","['Aaron Williams', 'Evan Eschmeyer', 'Kenyon Martin', 'Johnny Newman', 'Kendall Gill']",2,0,3,1,2,40.0,home,Aaron Williams | Evan Eschmeyer | Kenyon Martin | Johnny Newman | Kendall Gill,"('1425', '1915', '2030', '271', '383')",1610612751,Brooklyn Nets,0.01119119802247676,0.016216216216216217,0.08333333333333333,40.110740747572024
"('1501', '208', '281', '283', '951')","['Tim Thomas', 'Sam Cassell', 'Scott Williams', 'Lindsey Hunter', 'Ray Allen']",2,0,3,1,2,40.0,home,Tim Thomas | Sam Cassell | Scott Williams | Lindsey Hunter | Ray Allen,"('1501', '208', '281', '283', '951')",1610612749,Milwaukee Bucks,0.004450682782715839,0.016216216216216217,0.08333333333333333,40.10400023233227
"('166', '270', '296', '323', '977')","['Ron Harper', 'Horace Grant', 'Rick Fox', 'Greg Foster', 'Kobe Bryant']",2,0,3,1,2,40.0,home,Ron Harper | Horace Grant | Rick Fox | Greg Foster | Kobe Bryant,"('166', '270', '296', '323', '977')",1610612747,Los Angeles Lakers,0.0025475892414572,0.016216216216216217,0.08333333333333333,40.10209713879101
"('1709', '1838', '1885', '399', '976')","['Michael Olowokandi', 'Tyrone Nesby', 'Lamar Odom', 'Sean Rooks', 'Jeff McInnis']",4,0,6,1,4,40.0,home,Michael Olowokandi | Tyrone Nesby | Lamar Odom | Sean Rooks | Jeff McInnis,"('1709', '1838', '1885', '399', '976')",1610612746,Los Angeles Clippers,-0.013746301077626638,0.032432432432432434,0.08333333333333333,40.10201946468814
"('1000', '1005', '165', '1749', '1903')","['Shandon Anderson', 'Walt Williams', 'Hakeem Olajuwon', 'Cuttino Mobley', 'Kenny Thomas']",2,0,3,1,2,40.0,home,Shandon Anderson | Walt Williams | Hakeem Olajuwon | Cuttino Mobley | Kenny Thomas,"('1000', '1005', '165', '1749', '1903')",1610612745,Houston Rockets,0.0019358937796318397,0.016216216216216217,0.08333333333333333,40.10148544332918
"('1507', '198', '251', '422', '990')","['Derek Anderson', 'Danny Ferry', 'Sean Elliott', 'Avery Johnson', 'Malik Rose']",2,0,3,1,2,40.0,home,Derek Anderson | Danny Ferry | Sean Elliott | Avery Johnson | Malik Rose,"('1507', '198', '251', '422', '990')",1610612759,San Antonio Spurs,-3.738374277772009e-05,0.016216216216216217,0.08333333333333333,40.09951216580677
"('103', '1051', '1497', '1895', '708')","['Todd Day', 'Dean Garrett', 'Chauncey Billups', 'William Avery', 'Kevin Garnett']",2,0,3,1,2,40.0,home,Todd Day | Dean Garrett | Chauncey Billups | William Avery | Kevin Garnett,"('103', '1051', '1497', '1895', '708')",1610612750,Minnesota Timberwolves,-0.0007590612652114,0.016216216216216217,0.08333333333333333,40.09879048828434
"('1736', '1882', '1897', '1913', '2033')","['Corey Benjamin', 'Elton Brand', 'Metta World Peace', 'Michael Ruffin', 'Marcus Fizer']",2,0,3,1,2,40.0,home,Corey Benjamin | Elton Brand | Metta World Peace | Michael Ruffin | Marcus Fizer,"('1736', '1882', '1897', '1913', '2033')",1610612741,Chicago Bulls,-0.02342146983460114,0.016216216216216217,0.08333333333333333,40.07612807971495
"('1890', '201', '2091', '361', '467')","['Shawn Marion', 'Chris Dudley', 'Daniel Santiago', 'Clifford Robinson', 'Jason Kidd']",-83,-95,19,1,12,37.89473684210526,home,Shawn Marion | Chris Dudley | Daniel Santiago | Clifford Robinson | Jason Kidd,"('1890', '201', '2091', '361', '467')",1610612756,Phoenix Suns,0.02154374415954462,0.10270270270270271,0.08333333333333333,38.10231662230084
"('1713', '213', '349', '722', '891')","['Vince Carter', 'Antonio Davis', 'Mark Jackson', 'Corliss Williamson', 'Charles Oakley']",-75,-102,43,1,27,37.674418604651166,home,Vince Carter | Antonio Davis | Mark Jackson | Corliss Williamson | Charles Oakley,"('1713', '213', '349', '722', '891')",1610612761,Toronto Raptors,0.03572621618620886,0.23243243243243245,0.08333333333333333,38.02591058660314
"('1928', '238', '243', '689', '727')","['Todd MacCulloch', 'Tyrone Hill', 'Aaron McKie', 'Theo Ratliff', 'Eric Snow']",3,0,5,1,3,36.0,home,Todd MacCulloch | Tyrone Hill | Aaron McKie | Theo Ratliff | Eric Snow,"('1928', '238', '243', '689', '727')",1610612755,Philadelphia 76ers,0.00363962553672924,0.02702702702702703,0.08333333333333333,36.11399998589709
"('1088', '146', '1630', '2043', '376')","['Chucky Atkins', 'Jud Buechler', 'Mikki Moore', 'Mateen Cleaves', 'Eric Montross']",3,0,5,1,3,36.0,home,Chucky Atkins | Jud Buechler | Mikki Moore | Mateen Cleaves | Eric Montross,"('1088', '146', '1630', '2043', '376')",1610612765,Detroit Pistons,-0.00477448551896434,0.02702702702702703,0.08333333333333333,36.105585874841395
"('275', '369', '779', '84', '969')","['Allan Houston', 'Charlie Ward', 'Glen Rice', 'Latrell Sprewell', 'Travis Knight']",4,0,7,1,4,34.285714285714285,home,Allan Houston | Charlie Ward | Glen Rice | Latrell Sprewell | Travis Knight,"('275', '369', '779', '84', '969')",1610612752,New York Knicks,0.01327721321314678,0.03783783783783784,0.08333333333333333,34.4201626700986
"('164', '2068', '703', '779', '969')","['Chris Childs', 'Lavor Postell', 'Kurt Thomas', 'Glen Rice', 'Travis Knight']",4,0,7,1,4,34.285714285714285,home,Chris Childs | Lavor Postell | Kurt Thomas | Glen Rice | Travis Knight,"('164', '2068', '703', '779', '969')",1610612752,New York Knicks,0.0072242254057109405,0.03783783783783784,0.08333333333333333,34.41410968229117
"('1000', '1508', '165', '1883', '1903')","['Shandon Anderson', 'Maurice Taylor', 'Hakeem Olajuwon', 'Steve Francis', 'Kenny Thomas']",4,0,7,1,4,34.285714285714285,home,Shandon Anderson | Maurice Taylor | Hakeem Olajuwon | Steve Francis | Kenny Thomas,"('1000', '1508', '165', '1883', '1903')",1610612745,Houston Rockets,0.0048946391516244605,0.03783783783783784,0.08333333333333333,34.41178009603708
"('1000', '1005', '1508', '165', '1749')","['Shandon Anderson', 'Walt Williams', 'Maurice Taylor', 'Hakeem Olajuwon', 'Cuttino Mobley']",4,0,7,1,4,34.285714285714285,home,Shandon Anderson | Walt Williams | Maurice Taylor | Hakeem Olajuwon | Cuttino Mobley,"('1000', '1005', '1508', '165', '1749')",1610612745,Houston Rockets,0.0011170986356094797,0.03783783783783784,0.08333333333333333,34.408002555521065
"('1501', '283', '679', '911', '951')","['Tim Thomas', 'Lindsey Hunter', 'Jason Caffey', 'Ervin Johnson', 'Ray Allen']",4,0,7,1,4,34.285714285714285,home,Tim Thomas | Lindsey Hunter | Jason Caffey | Ervin Johnson | Ray Allen,"('1501', '283', '679', '911', '951')",1610612749,Milwaukee Bucks,-0.008288543665152661,0.03783783783783784,0.08333333333333333,34.3985969132203
"('1500', '1882', '1913', '2064', '697')","['Ron Mercer', 'Elton Brand', 'Michael Ruffin', 'Khalid El-Amin', 'Fred Hoiberg']",4,0,7,1,4,34.285714285714285,home,Ron Mercer | Elton Brand | Michael Ruffin | Khalid El-Amin | Fred Hoiberg,"('1500', '1882', '1913', '2064', '697')",1610612741,Chicago Bulls,-0.015759227930913538,0.03783783783783784,0.08333333333333333,34.39112622895454
"('166', '216', '270', '375', '406')","['Ron Harper', 'Brian Shaw', 'Horace Grant', 'Isaiah Rider', ""Shaquille O'Neal""]",-87,-101,25,1,14,33.6,home,Ron Harper | Brian Shaw | Horace Grant | Isaiah Rider | Shaquille O'Neal,"('166', '216', '270', '375', '406')",1610612747,Los Angeles Lakers,0.00870092830846328,0.13513513513513514,0.08333333333333333,33.82716939677694
"('1501', '208', '283', '299', '679')","['Tim Thomas', 'Sam Cassell', 'Lindsey Hunter', 'Glenn Robinson', 'Jason Caffey']",13,3,18,2,10,33.333333333333336,home,Tim Thomas | Sam Cassell | Lindsey Hunter | Glenn Robinson | Jason Caffey,"('1501', '208', '283', '299', '679')",1610612749,Milwaukee Bucks,-0.00547395767551546,0.0972972972972973,0.16666666666666666,33.59182333962178
"('201', '2101', '361', '915', '960')","['Chris Dudley', 'Paul McPherson', 'Clifford Robinson', 'Rodney Rogers', 'Tony Delk']",5,0,9,1,5,33.333333333333336,home,Chris Dudley | Paul McPherson | Clifford Robinson | Rodney Rogers | Tony Delk,"('201', '2101', '361', '915', '960')",1610612756,Phoenix Suns,0.02766535831541208,0.04864864864864865,0.08333333333333333,33.49298067363073
"('1890', '2091', '361', '467', '915')","['Shawn Marion', 'Daniel Santiago', 'Clifford Robinson', 'Jason Kidd', 'Rodney Rogers']",5,0,9,1,5,33.333333333333336,home,Shawn Marion | Daniel Santiago | Clifford Robinson | Jason Kidd | Rodney Rogers,"('1890', '2091', '361', '467', '915')",1610612756,Phoenix Suns,0.01967438773289314,0.04864864864864865,0.08333333333333333,33.484989703048214
"('146', '1630', '2043', '688', '693')","['Jud Buechler', 'Mikki Moore', 'Mateen Cleaves', 'Michael Curry', 'Joe Smith']",6,0,11,1,6,32.72727272727273,home,Jud Buechler | Mikki Moore | Mateen Cleaves | Michael Curry | Joe Smith,"('146', '1630', '2043', '688', '693')",1610612765,Detroit Pistons,0.014901771529097541,0.05945945945945946,0.08333333333333333,32.88496729159462
