player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60,player_1_name,player_2_name
1962936724,42537,1,102,1,0.5882352941176471,1962936724,Izzet Turkyilmaz
1962936724,42541,1,102,1,0.5882352941176471,1962936724,James Birsen
1962936724,42546,1,102,1,0.5882352941176471,1962936724,Berk Ugurlu
1962936724,42547,1,102,1,0.5882352941176471,1962936724,Ayberk Olmaz
200757,201142,-5,467,3,-0.6423982869379015,Thabo Sefolosha,Kevin Durant
200757,201586,2,1524,16,0.07874015748031496,Thabo Sefolosha,Serge Ibaka
200757,201934,1,689,10,0.08708272859216255,Thabo Sefolosha,Hasheem Thabeet
200757,202704,-4,1681,18,-0.14277215942891136,Thabo Sefolosha,Reggie Jackson
200757,203087,10,2176,27,0.2757352941176471,Thabo Sefolosha,Jeremy Lamb
200757,203103,9,962,12,0.5613305613305614,Thabo Sefolosha,Perry Jones III
200757,203197,2,329,5,0.364741641337386,Thabo Sefolosha,Diante Garrett
200757,2555,-2,524,9,-0.22900763358778625,Thabo Sefolosha,Nick Collison
200757,2570,3,1745,15,0.10315186246418338,Thabo Sefolosha,Kendrick Perkins
200757,965,4,475,5,0.5052631578947369,Thabo Sefolosha,Derek Fisher
201142,201586,-5,467,3,-0.6423982869379015,Kevin Durant,Serge Ibaka
201142,202704,-5,467,3,-0.6423982869379015,Kevin Durant,Reggie Jackson
201142,2555,3,24,1,7.5,Kevin Durant,Nick Collison
201142,2570,-8,443,2,-1.0835214446952595,Kevin Durant,Kendrick Perkins
201586,201934,2,45,1,2.666666666666667,Serge Ibaka,Hasheem Thabeet
201586,202704,-2,1285,12,-0.0933852140077821,Serge Ibaka,Reggie Jackson
201586,203087,7,1057,13,0.3973509933774834,Serge Ibaka,Jeremy Lamb
201586,203103,4,239,4,1.00418410041841,Serge Ibaka,Perry Jones III
201586,203197,1,81,2,0.7407407407407407,Serge Ibaka,Diante Garrett
201586,2555,0,128,3,0.0,Serge Ibaka,Nick Collison
201586,2570,-1,1270,10,-0.047244094488188976,Serge Ibaka,Kendrick Perkins
201934,202704,0,441,7,0.0,Hasheem Thabeet,Reggie Jackson
201934,203087,1,689,10,0.08708272859216255,Hasheem Thabeet,Jeremy Lamb
201934,203103,1,248,3,0.24193548387096775,Hasheem Thabeet,Perry Jones III
201934,203197,1,248,3,0.24193548387096775,Hasheem Thabeet,Diante Garrett
201934,2555,-2,396,6,-0.30303030303030304,Hasheem Thabeet,Nick Collison
202704,203087,1,1214,15,0.04942339373970346,Reggie Jackson,Jeremy Lamb
202704,2555,-2,524,9,-0.22900763358778625,Reggie Jackson,Nick Collison
202704,2570,-4,1112,8,-0.21582733812949642,Reggie Jackson,Kendrick Perkins
203087,203103,9,962,12,0.5613305613305614,Jeremy Lamb,Perry Jones III
203087,203197,2,329,5,0.364741641337386,Jeremy Lamb,Diante Garrett
203087,2555,-5,500,8,-0.6,Jeremy Lamb,Nick Collison
203087,2570,11,1302,13,0.5069124423963134,Jeremy Lamb,Kendrick Perkins
203087,965,4,475,5,0.5052631578947369,Jeremy Lamb,Derek Fisher
203103,203197,2,329,5,0.364741641337386,Perry Jones III,Diante Garrett
203103,2570,7,633,7,0.6635071090047393,Perry Jones III,Kendrick Perkins
203103,965,4,475,5,0.5052631578947369,Perry Jones III,Derek Fisher
2570,965,4,475,5,0.5052631578947369,Kendrick Perkins,Derek Fisher
42531,42534,-3,159,2,-1.1320754716981132,Bo McCalebb,Baris Ermis
42531,42535,-1,96,2,-0.625,Bo McCalebb,Melih Mahmutoglu
42531,42536,1,1184,10,0.05067567567567568,Bo McCalebb,42536
42531,42538,-4,856,8,-0.2803738317757009,Bo McCalebb,Gasper Vidmar
42531,42540,2,487,4,0.24640657084188913,Bo McCalebb,Luka Zoric
42531,42544,-1,1295,11,-0.04633204633204633,Bo McCalebb,Bojan Bogdanovic
42531,42545,-2,1295,11,-0.09266409266409266,Bo McCalebb,Emir Preldzic
42534,42536,0,23,1,0.0,Baris Ermis,42536
42534,42540,-4,475,5,-0.5052631578947369,Baris Ermis,Luka Zoric
42534,42541,-1,316,3,-0.18987341772151897,Baris Ermis,James Birsen
42534,42542,-1,316,3,-0.18987341772151897,Baris Ermis,Kenan Sipahi
