player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60
1000,1005,-15,1937,115,-0.007743933918430563
1000,1508,12,2543,158,0.0047188360204482895
1000,165,44,2906,169,0.015141087405368204
1000,1749,36,3328,233,0.010817307692307692
1000,1883,29,2033,126,0.01426463354648303
1000,1903,21,1916,145,0.010960334029227558
1000,2044,-16,763,60,-0.020969855832241154
1000,435,-1,664,47,-0.0015060240963855422
1000,672,41,1489,111,0.027535258562793822
1000,983,-1,544,53,-0.001838235294117647
1005,1508,-30,1596,88,-0.018796992481203006
1005,165,-21,1542,90,-0.013618677042801557
1005,1749,-21,1978,139,-0.010616784630940344
1005,1883,1,774,50,0.0012919896640826874
1005,1903,5,993,73,0.005035246727089627
1005,2044,-19,248,30,-0.07661290322580645
1005,435,-7,356,27,-0.019662921348314606
1005,672,4,501,45,0.007984031936127744
1005,983,-11,649,43,-0.01694915254237288
1023,121,-5,1184,77,-0.004222972972972973
1023,1739,-14,1273,108,-0.010997643362136685
1023,1740,32,1520,111,0.021052631578947368
1023,1741,34,469,29,0.07249466950959488
1023,1742,13,303,29,0.0429042904290429
1023,2046,-22,791,74,-0.02781289506953224
1023,2106,-39,817,64,-0.04773561811505508
1023,442,15,397,26,0.037783375314861464
1023,452,0,413,32,0.0
1023,56,33,269,18,0.12267657992565056
1023,699,-15,632,44,-0.023734177215189875
103,1051,29,604,45,0.048013245033112585
103,1073,17,319,32,0.05329153605015674
103,111,9,966,82,0.009316770186335404
103,1497,17,818,57,0.02078239608801956
103,1725,6,717,51,0.008368200836820083
103,1887,-1,758,55,-0.0013192612137203166
103,1895,15,483,39,0.031055900621118012
103,210,6,409,31,0.014669926650366748
103,324,-8,661,60,-0.012102874432677761
103,417,14,226,16,0.061946902654867256
103,708,5,358,21,0.013966480446927373
1032,1501,-8,777,60,-0.010296010296010296
1032,208,-6,648,48,-0.009259259259259259
1032,281,0,789,57,0.0
1032,283,-11,764,63,-0.014397905759162303
1032,299,-11,599,47,-0.018363939899833055
1032,679,-5,205,12,-0.024390243902439025
1032,951,13,267,20,0.04868913857677903
1051,1073,11,391,24,0.028132992327365727
1051,111,3,983,84,0.003051881993896236
1051,1497,-17,1544,98,-0.011010362694300517
1051,1725,-2,1049,73,-0.0019065776930409914
1051,1887,4,1442,99,0.0027739251040221915
1051,1895,16,1429,103,0.01119664100769769
1051,210,-24,1003,69,-0.023928215353938187
1051,324,-64,1289,94,-0.04965089216446858
1051,417,-12,559,35,-0.02146690518783542
1051,708,-1,703,40,-0.001422475106685633
1065,164,-21,1218,96,-0.017241379310344827
1065,2068,6,570,55,0.010526315789473684
1065,26,15,246,16,0.06097560975609756
1065,275,-2,2025,161,-0.0009876543209876543
1065,369,-18,886,69,-0.020316027088036117
1065,703,-43,1614,135,-0.02664188351920694
1065,779,-48,1428,115,-0.03361344537815126
1065,84,-2,589,47,-0.003395585738539898
1065,913,-10,315,22,-0.031746031746031744
1065,948,-4,230,18,-0.017391304347826087
1073,111,1,212,26,0.0047169811320754715
1073,1887,27,271,17,0.0996309963099631
1073,1895,13,471,29,0.027600849256900213
1073,417,12,328,15,0.036585365853658534
1074,1533,-11,1117,91,-0.009847806624888093
1074,1544,-59,2273,174,-0.025956885173779146
1074,1683,-58,2045,163,-0.028361858190709046
1074,1728,-9,803,59,-0.0112079701120797
1074,1891,-43,2275,164,-0.018901098901098902
1074,1898,-2,335,27,-0.005970149253731343
1074,2035,-59,1656,131,-0.035628019323671496
1074,2069,-36,872,69,-0.04128440366972477
1074,673,-35,1837,136,-0.01905280348394121
1074,754,9,911,52,0.009879253567508232
1074,87,-18,365,25,-0.049315068493150684
1088,1112,14,2602,187,0.005380476556495004
1088,146,24,2409,204,0.009962640099626401
1088,1630,14,2241,178,0.006247211066488175
1088,182,27,1413,102,0.01910828025477707
1088,2043,-11,2655,204,-0.004143126177024482
1088,376,-19,1408,100,-0.013494318181818182
1088,688,-11,1172,86,-0.00938566552901024
1088,711,14,1343,101,0.010424422933730455
1088,76,-17,596,53,-0.028523489932885907
1088,961,-4,669,58,-0.005979073243647235
1088,966,32,1027,80,0.0311587147030185
