player_id,total_net_points,total_duration,total_stints,impact_per_60_sec,stints_per_game
1000,38,4564,306,0.008326029798422436,
1005,-31,2689,178,-0.011528449237634809,
1023,8,2017,153,0.0039662865642042635,
103,26,1598,124,0.016270337922403004,
1032,-10,1032,79,-0.009689922480620155,
1051,-17,2796,193,-0.006080114449213162,
1065,-37,2342,189,-0.015798462852263023,
1073,19,623,47,0.030497592295345103,
1074,-82,3651,275,-0.022459600109559025,
1088,18,4427,341,0.0040659588886379034,
109,-5,2511,189,-0.001991238550378335,
111,9,2803,236,0.003210845522654299,
1110,-4,2000,166,-0.002,
1112,-6,3074,223,-0.001951854261548471,
1134,25,2523,185,0.009908838684106223,
1138,27,693,55,0.03896103896103896,
120,66,5667,369,0.011646373742721016,
121,66,4404,272,0.014986376021798364,
123,-25,2088,163,-0.011973180076628353,
124,-29,3161,192,-0.009174311926605505,
128,-21,743,59,-0.02826379542395693,
133,32,5688,383,0.005625879043600563,
136,79,3994,262,0.019779669504256383,
137,16,1597,156,0.010018785222291797,
1425,67,4650,335,0.014408602150537634,
1434,-18,1980,127,-0.00909090909090909,
1444,32,2415,183,0.013250517598343685,
145,16,1057,89,0.015137180700094607,
146,22,3596,307,0.006117908787541713,
147,-85,1326,83,-0.0641025641025641,
1477,-37,5196,367,-0.00712086220169361,
1495,10,2938,214,0.0034036759700476512,
1497,-6,3951,255,-0.0015186028853454822,
1498,34,3260,254,0.010429447852760737,
1499,-61,2865,203,-0.021291448516579405,
15,-9,3953,291,-0.0022767518340500886,
1500,-99,5621,404,-0.01761252446183953,
1501,-38,5155,381,-0.007371483996120271,
1502,-15,2485,177,-0.006036217303822937,
1503,-5,4551,319,-0.001098659635245001,
1504,-29,834,63,-0.03477218225419664,
1505,-54,2409,156,-0.0224159402241594,
1506,-44,3146,236,-0.013986013986013986,
1507,35,3484,243,0.010045924225028703,
1508,-3,3142,193,-0.0009548058561425843,
1509,5,318,19,0.015723270440251572,
1513,89,2865,218,0.03106457242582897,
1517,4,2214,146,0.0018066847335140017,
1521,75,4470,313,0.016778523489932886,
1531,-27,1526,122,-0.017693315858453473,
1533,-26,2892,211,-0.008990318118948824,
1536,31,4635,315,0.00668824163969795,
1538,6,2736,225,0.0021929824561403508,
1541,36,3880,281,0.009278350515463918,
1544,-49,3510,266,-0.01396011396011396,
1548,-27,1519,125,-0.017774851876234364,
1554,-35,1169,91,-0.029940119760479042,
1559,-16,1541,140,-0.010382868267358857,
1562,56,3325,252,0.016842105263157894,
1563,-13,632,46,-0.020569620253164556,
1594,-62,1500,122,-0.04133333333333333,
1600,-47,1072,75,-0.043843283582089554,
1607,6,1741,156,0.0034462952326249283,
1630,5,3153,259,0.001585791309863622,
164,23,4055,299,0.005672009864364982,
165,22,3501,221,0.006283918880319908,
166,-19,3863,240,-0.004918457157649495,
168,-8,2765,200,-0.0028933092224231465,
1683,-32,3333,258,-0.009600960096009602,
1709,-84,3594,237,-0.02337228714524207,
1710,61,4105,266,0.014859926918392205,
1711,56,3844,272,0.014568158168574402,
1712,-37,3945,263,-0.00937896070975919,
1713,160,4857,312,0.03294214535721639,
1714,26,2938,237,0.008849557522123894,
1715,26,2779,195,0.009355883411299028,
1716,-26,3620,243,-0.0071823204419889505,
1717,-86,4733,343,-0.01817029368265371,
1718,-151,4383,330,-0.034451289071412275,
1719,10,2783,208,0.0035932446999640674,
1720,11,2953,213,0.0037250253979004403,
1721,-1,3451,278,-0.0002897710808461316,
1722,74,1999,132,0.03701850925462731,
1723,-55,3164,213,-0.01738305941845765,
1724,-34,680,57,-0.05,
1725,-23,3485,226,-0.006599713055954089,
1727,29,4225,324,0.006863905325443787,
1728,-42,1779,123,-0.023608768971332208,
1730,-50,2067,159,-0.024189646831156264,
1731,-13,1111,81,-0.011701170117011701,
1732,61,4667,353,0.013070494964645383,
1733,-45,3214,247,-0.014001244555071561,
1734,-17,537,37,-0.03165735567970205,
1736,-41,2036,147,-0.02013752455795678,
1737,3,1523,129,0.001969796454366382,
1739,50,4703,335,0.0106315118009781,
1740,107,4841,313,0.02210287130758108,
1741,22,1797,112,0.012242626599888704,
1742,-7,1768,139,-0.003959276018099547,
1747,-41,737,76,-0.05563093622795115,
1749,17,4915,354,0.0034587995930824007,
1751,74,3347,234,0.022109351658201375,
176,-7,531,36,-0.013182674199623353,
1761,-28,1752,141,-0.01598173515981735,
178,74,2164,134,0.034195933456561925,
179,-141,4222,336,-0.03339649455234486,
1800,31,3539,249,0.0087595365922577,
1802,-19,600,43,-0.03166666666666667,
182,19,1643,125,0.011564211807668898,
1838,-65,3966,262,-0.01638930912758447,
185,52,3856,246,0.013485477178423237,
1853,-61,3857,304,-0.015815400570391495,
1882,-101,5289,375,-0.019096237474002648,
1883,22,2865,192,0.007678883071553229,
1884,-60,3115,174,-0.019261637239165328,
1885,-139,5434,353,-0.025579683474420318,
1886,-62,2510,209,-0.024701195219123506,
1887,10,3349,234,0.002985965959988056,
1888,66,5469,414,0.012068019747668678,
1889,5,3716,250,0.0013455328310010765,
1890,96,4702,322,0.020416843896214378,
1891,-55,4116,290,-0.01336248785228377,
1892,34,2724,203,0.012481644640234948,
1894,-49,2313,170,-0.021184608733246867,
1895,-15,2088,162,-0.007183908045977011,
1897,-76,4246,291,-0.017899199246349504,
1898,0,407,34,0.0,
1899,33,3807,257,0.008668242710795903,
190,-26,4060,282,-0.0064039408866995075,
1900,55,2088,153,0.026340996168582376,
1902,56,1809,142,0.03095632946379215,
1903,9,2867,215,0.003139169863969306,
1904,-1,1397,95,-0.0007158196134574087,
1906,-5,429,33,-0.011655011655011656,
1908,13,368,29,0.035326086956521736,
1913,-71,3671,274,-0.019340779079269954,
1914,-69,1440,107,-0.04791666666666667,
1915,59,4401,304,0.013406044080890706,
1916,-37,1243,88,-0.029766693483507644,
1918,37,1663,122,0.022248947684906796,
1924,48,1369,108,0.03506208911614317,
1928,15,1273,105,0.01178318931657502,
193,-51,5677,411,-0.008983618108155716,
1944,17,2278,166,0.007462686567164179,
1956,-22,422,35,-0.052132701421800945,
198,-45,3352,265,-0.013424821002386634,
1985,-1,334,24,-0.0029940119760479044,
201,83,2586,197,0.03209590100541377,
2030,54,4536,304,0.011904761904761904,
2031,-32,743,53,-0.04306864064602961,
2032,14,3277,236,0.0042722001830942935,
2033,-118,2904,228,-0.040633608815427,
2034,-116,4166,321,-0.02784445511281805,
2035,-76,3112,237,-0.02442159383033419,
2036,55,1400,111,0.039285714285714285,
2037,-15,975,66,-0.015384615384615385,
2038,20,803,52,0.024906600249066,
2039,-3,2134,143,-0.0014058106841611997,
2040,-8,1089,94,-0.0073461891643709825,
2042,-65,2111,176,-0.030791094268119375,
2043,-27,4147,334,-0.0065107306486616836,
2044,-21,1409,120,-0.014904187366926898,
2045,50,849,70,0.05889281507656066,
2046,-5,3615,262,-0.0013831258644536654,
2047,-7,2451,175,-0.0028559771521827824,
2048,96,4319,306,0.022227367446168093,
2050,82,3867,276,0.02120506852857512,
2052,68,1483,100,0.045853000674308836,
2054,17,294,22,0.05782312925170068,
